first,last,birth,death,gender,id,mother,father
Mehitabel,Garfield,1821,-1,F,@I1909@,@I1908@,@I1907@
Thomas,Garfield,1822,-1,M,@I1910@,@I1908@,@I1907@
Mary,Garfield,1824,1884,F,@I1911@,@I1908@,@I1907@
James Ballou,Garfield,1826,1829,M,@I1912@,@I1908@,@I1907@
Stephen D.,Trowbridge,-1,-1,M,@I1913@,,
Jane,Harper,-1,-1,F,@I1914@,,
Marenus G.,Larabee,-1,-1,M,@I1915@,,
Rutherford Birchard,Hayes,1822,1893,M,@I1916@,@I1932@,@I1931@
Lucy Ware,Webb,1831,1889,F,@I1917@,@I2279@,@I2280@
Sardis Birchard (Austin),Hayes,1853,1926,M,@I1918@,@I1917@,@I1916@
James Webb,Hayes,1856,1935,M,@I1919@,@I1917@,@I1916@
Rutherford Platt,Hayes,1858,1927,M,@I1920@,@I1917@,@I1916@
Joseph Thompson,Hayes,1861,1863,M,@I1921@,@I1917@,@I1916@
George Cook,Hayes,1864,1866,M,@I1922@,@I1917@,@I1916@
Frances Fanny,Hayes,1867,1950,F,@I1923@,@I1917@,@I1916@
Scott Russell,Hayes,1871,1923,M,@I1924@,@I1917@,@I1916@
Manning Force,Hayes,1873,1874,M,@I1925@,@I1917@,@I1916@
Mary Nancy,Sherman,1859,1924,F,@I1926@,,
Mary Otis,Miller,1856,1935,F,@I1927@,,
Lucy Hayes,Platt,1868,1939,F,@I1928@,,
Harry Eaton,Smith,1869,1931,M,@I1929@,,
Maude,Anderson,1873,1966,F,@I1930@,,
Rutherford,Hayes,1787,1822,M,@I1931@,,
Sophia,Birchard,1792,1866,F,@I1932@,,
_____,Hayes,1814,1814,M,@I1933@,@I1932@,@I1931@
Lorenzo,Hayes,1815,1825,M,@I1934@,@I1932@,@I1931@
Sarah Sophia,Hayes,1817,1821,F,@I1935@,@I1932@,@I1931@
Fanny Arabella,Hayes,1820,1856,F,@I1936@,@I1932@,@I1931@
William Augustus,Platt,-1,-1,M,@I1937@,,
William,McKinley,1843,1901,M,@I1938@,@I1943@,@I1942@
Katherine,McKinley,1871,1876,F,@I1940@,@I2264@,@I1938@
Ida,McKinley,1872,1873,F,@I1941@,@I2264@,@I1938@
William,McKinley,1807,1892,M,@I1942@,,
Nancy Campbell,Allison,1809,1897,F,@I1943@,@I2262@,@I2263@
David Allison,McKinley,1829,1892,M,@I1944@,@I1943@,@I1942@
Annie,McKinley,1831,1889,F,@I1945@,@I1943@,@I1942@
James Rose,McKinley,1833,1889,M,@I1946@,@I1943@,@I1942@
Mary,McKinley,1835,1868,F,@I1947@,@I1943@,@I1942@
Helen,McKinley,1839,1924,F,@I1948@,@I1943@,@I1942@
Sarah Elizabeth,McKinley,1840,1931,F,@I1949@,@I1943@,@I1942@
Abbie Celia,McKinley,1845,1846,F,@I1950@,@I1943@,@I1942@
Abner Osborn,McKinley,1847,1904,M,@I1951@,@I1943@,@I1942@
Nancy Minerva,Scott,-1,-1,F,@I1952@,,
Eliza Howe,Fuller,-1,-1,F,@I1953@,,
David,May,-1,-1,M,@I1954@,,
Andrew Jackson,Duncan,-1,-1,M,@I1955@,,
Anna E,Endsley,-1,-1,M,@I1956@,,
William Howard,Taft,1857,1930,M,@I1957@,@I1969@,@I1965@
Helen Nellie,Herron,1861,1943,F,@I1958@,,
Robert Alphonso,Taft,1889,1953,M,@I1959@,@I1958@,@I1957@
Helen Herron,Taft,1891,1987,F,@I1960@,@I1958@,@I1957@
Charles Phelps,Taft,1897,1983,M,@I1961@,@I1958@,@I1957@
Eleanor Kellogg,Chase,1891,1961,F,@I1962@,,
Frederick Johnson,Manning,1894,1966,M,@I1963@,,
Martha Wheaton,Wheaton-Bowers,1891,1958,F,@I1964@,,
Alphonso,Taft,1810,1891,M,@I1965@,,
Fanny,Phelps,1823,1852,F,@I1966@,,
Charles Phelps,Taft,1843,1923,M,@I1967@,@I1966@,@I1965@
Peter Rawson,Taft,1845,1889,M,@I1968@,@I1966@,@I1965@
Louisa Maria,Torrey,1827,1907,F,@I1969@,,
Samuel Davenport,Taft,1855,1855,M,@I1970@,@I1969@,@I1965@
Henry Waters,Taft,1859,-1,M,@I1971@,@I1969@,@I1965@
Horace Dutton,Taft,1861,1943,M,@I1972@,@I1969@,@I1965@
Frances Louise,Taft,1865,-1,F,@I1973@,@I1969@,@I1965@
Julia Walbridge,Smith,-1,-1,F,@I1974@,,
Winifred S.,Thompson,-1,-1,F,@I1975@,,
William A.,Edwards,-1,-1,M,@I1976@,,
Warren Gamaliel,Harding,1865,1923,M,@I1977@,@I1980@,@I1979@
Florence Mabel,Kling,1860,1924,F,@I1978@,,
George Tyron,Harding,1844,1928,M,@I1979@,,
Phoebe Elizabeth,Dickerson,1843,1910,F,@I1980@,,
Charity Malvina,Harding,1867,-1,F,@I1981@,@I1980@,@I1979@
Mary Clarissa,Harding,1868,1913,F,@I1982@,@I1980@,@I1979@
Eleanor Persilla,Harding,1872,1878,F,@I1983@,@I1980@,@I1979@
Charles Alexander,Harding,1874,1878,M,@I1984@,@I1980@,@I1979@
Abigail Victoria Daisy,Harding,1876,1935,F,@I1985@,@I1980@,@I1979@
George Tyron,Harding,1878,1934,M,@I1986@,@I1980@,@I1979@
Phoebe Caroline,Harding,1879,1951,F,@I1987@,@I1980@,@I1979@
Elton Elsworth,Remsberg,-1,-1,M,@I1988@,,
Ralph Tobias,Lewis,-1,-1,M,@I1989@,,
Elsie,Weaver,-1,-1,F,@I1990@,,
Heber Herbert,Votaw,-1,-1,M,@I1991@,,
Nanna Popham,Britton,1896,1991,F,@I1992@,@I2233@,@I2234@
Elizabeth Ann Britton,Harding,1919,2005,F,@I1993@,@I1992@,@I1977@
Henry El,Blaesing,-1,-1,M,@I1994@,,
John,Adams,1735,1826,M,@I1995@,@I2009@,@I2008@
John Quincy,Adams,1767,1848,M,@I1996@,@I1997@,@I1995@
Abigail,Smith,1744,1818,F,@I1997@,@I2312@,@I2313@
Abigail Amelia,Adams,1765,1813,F,@I1998@,@I1997@,@I1995@
Grace Susanna,Adams,1768,1770,F,@I1999@,@I1997@,@I1995@
Charles,Adams,1770,1800,M,@I2000@,@I1997@,@I1995@
Thomas Boylston,Adams,1772,1832,M,@I2001@,@I1997@,@I1995@
William Stephens,Smith,1755,1816,M,@I2002@,,
Sarah,Smith,1769,1828,F,@I2003@,,
Ann,Harrod,1774,1846,F,@I2004@,,
William,Smith,1667,1730,M,@I2005@,@I2007@,@I2006@
Thomas,Smith,-1,1690,M,@I2006@,,
Sarah,Boylston,1642,1711,F,@I2007@,@I2015@,@I2014@
John,Adams,1691,1761,M,@I2008@,,
Susanna,Boylston,1709,1797,F,@I2009@,@I2011@,@I2010@
Peter,Boylston,1673,1743,M,@I2010@,@I2013@,@I2012@
Ann,White,1685,1772,F,@I2011@,,
Thomas,Boylston,1645,1696,M,@I2012@,@I2015@,@I2014@
Mary,Gardner,1648,1722,F,@I2013@,,
Thomas,Boylston,1614,1653,M,@I2014@,,
Sarah Boylston,Cheney,1618,1704,F,@I2015@,,
Peter_boylston of Braintree,Adams,1738,1823,M,@I2016@,@I2009@,@I2008@
Elihu,Adams,1741,1776,M,@I2017@,@I2009@,@I2008@
Louisa Catherine,Johnson,1775,1852,F,@I2018@,,
George Washington,Adams,1801,1829,M,@I2019@,@I2018@,@I1996@
John,Adams,1803,1834,M,@I2020@,@I2018@,@I1996@
Charles Francis,Adams,1807,1886,M,@I2021@,@I2018@,@I1996@
Louisa Catherine,Adams,1811,1812,M,@I2022@,@I2018@,@I1996@
Mary Catherine,Hellen,1806,1870,F,@I2023@,,
Abigail Brown,Brooks,1808,1889,F,@I2024@,,
Thomas,Jefferson,1743,1826,M,@I2025@,@I2036@,@I2035@
Martha Skelton,Wayles,1748,1782,F,@I2026@,@I2319@,@I2318@
Martha Patsy,Jefferson,1772,1836,F,@I2027@,@I2026@,@I2025@
Jane Randolph,Jefferson,1774,1775,F,@I2028@,@I2026@,@I2025@
_____,Jefferson,1777,1777,M,@I2029@,@I2026@,@I2025@
Mary,Jefferson,1778,1871,F,@I2030@,@I2026@,@I2025@
Lucy Elizabeth,Jefferson,1780,1804,F,@I2031@,@I2026@,@I2025@
Lucy Elizabeth,Jefferson,1782,1784,F,@I2032@,@I2026@,@I2025@
Thomas Mann,Randolph,1768,1828,M,@I2033@,,
John Wayles,Eppes,1773,1823,M,@I2034@,,
Peter,Jefferson,1708,1757,M,@I2035@,@I2053@,@I2052@
Jane,Randolph,1720,1776,F,@I2036@,,
Jane,Jefferson,1740,1765,F,@I2037@,@I2036@,@I2035@
Mary,Jefferson,1741,1817,F,@I2038@,@I2036@,@I2035@
Elizabeth,Jefferson,1744,1773,F,@I2039@,@I2036@,@I2035@
Martha,Jefferson,1746,1811,F,@I2040@,@I2036@,@I2035@
Peter Field,Jefferson,1748,1748,M,@I2041@,@I2036@,@I2035@
_____,Jefferson,1750,1750,M,@I2042@,@I2036@,@I2035@
Lucy,Jefferson,1752,-1,F,@I2043@,@I2036@,@I2035@
Anna Scott,Jefferson,1755,1828,F,@I2044@,@I2036@,@I2035@
Randolph,Jefferson,1755,1815,M,@I2045@,@I2036@,@I2035@
John,Bolling,1737,-1,M,@I2046@,,
Dabney,Carr,1743,1773,M,@I2047@,,
Charles Lilburn,Lewis,-1,-1,M,@I2048@,,
Hastings,Marks,-1,-1,M,@I2049@,,
Anna,Lewis,-1,-1,F,@I2050@,,
Mitchie,Pryor,-1,-1,F,@I2051@,,
Thomas,Jefferson,1679,1731,M,@I2052@,,
Mary,Field,1680,1715,F,@I2053@,,
James,Madison,1751,1836,M,@I2054@,@I2057@,@I2056@
Dorothea Dolley,Payne,1768,1849,F,@I2055@,@I2320@,@I2321@
James,Madison,1723,1801,M,@I2056@,,
Eleanor Nelly Rose,Conway,1731,1829,F,@I2057@,,
Francis,Madison,1753,1800,M,@I2058@,@I2057@,@I2056@
Ambrose,Madison,1755,1793,M,@I2059@,@I2057@,@I2056@
Catlett,Madison,1758,1758,M,@I2060@,@I2057@,@I2056@
Nelly Conway,Madison,1760,1802,F,@I2061@,@I2057@,@I2056@
William,Madison,1762,1843,M,@I2062@,@I2057@,@I2056@
Sarah Catlett,Madison,1764,1843,F,@I2063@,@I2057@,@I2056@
_____,Madison,1766,-1,M,@I2064@,@I2057@,@I2056@
Elizabeth,Madison,1768,1775,F,@I2065@,@I2057@,@I2056@
_____,Madison,1770,1770,M,@I2066@,@I2057@,@I2056@
Reuben,Madison,1771,1775,M,@I2067@,@I2057@,@I2056@
Frances Taylor,Madison,1774,1823,F,@I2068@,@I2057@,@I2056@
John,Todd,1763,1836,M,@I2069@,,
William Temple,Todd,1793,1793,M,@I2070@,@I2055@,@I2069@
James,Monroe,1758,1831,M,@I2071@,@I2079@,@I2078@
Elizabeth,Kortright,1768,1830,F,@I2072@,@I2323@,@I2322@
Eliza Kortright,Monroe,1787,1840,F,@I2073@,@I2072@,@I2071@
James Spence,Monroe,1799,1800,M,@I2074@,@I2072@,@I2071@
Maria Hester,Monroe,1802,1850,F,@I2075@,@I2072@,@I2071@
George,Hay,1765,1830,M,@I2076@,,
Samuel,Laurence,1799,1867,M,@I2077@,,
Spence,Monroe,-1,1774,M,@I2078@,,
Elizabeth (Eliza),Jones,-1,-1,F,@I2079@,,
Elizabeth,Monroe,1754,-1,F,@I2080@,@I2079@,@I2078@
Spence,Monroe,1759,-1,M,@I2081@,@I2079@,@I2078@
Andrew,Monroe,-1,1836,M,@I2082@,@I2079@,@I2078@
Joseph Jones,Monroe,1764,1824,M,@I2083@,@I2079@,@I2078@
William,Buckner,-1,-1,M,@I2084@,,
Ann,Bell,-1,-1,F,@I2085@,,
Elizabeth,Kerr,-1,-1,F,@I2086@,,
Sarah,Gordon,-1,-1,F,@I2087@,,
Elizabeth,Glasscock,-1,-1,F,@I2088@,,
Andrew,Jackson,1767,1845,M,@I2089@,@I2092@,@I2091@
Rachel Donelson,Robards,1767,1828,F,@I2090@,@I2324@,@I2325@
Andrew,Jackson,1730,1767,M,@I2091@,,
Elizabeth,Hutchinson,1740,1781,F,@I2092@,,
Hugh,Jackson,1762,1779,M,@I2093@,@I2092@,@I2091@
Robert,Jackson,1763,1781,M,@I2094@,@I2092@,@I2091@
Martin,Van Buren,1782,1862,M,@I2095@,@I2107@,@I2106@
Hannah,Hoes,1783,1819,F,@I2096@,@I2326@,@I2327@
Abraham,Van Buren,1807,1873,M,@I2097@,@I2096@,@I2095@
John,Van Buren,1810,1866,M,@I2098@,@I2096@,@I2095@
Martin,Van Buren,1812,1855,M,@I2099@,@I2096@,@I2095@
Winfield Scott,Van Buren,1814,1814,M,@I2100@,@I2096@,@I2095@
Smith Thompson,Van Buren,1817,1876,M,@I2101@,@I2096@,@I2095@
Angelica,Singleton,1816,1878,F,@I2102@,,
Elizabeth,Vanderpoel,1810,1844,F,@I2103@,,
Ellen King,James,1813,1849,F,@I2104@,,
Henrietta Eckford,Irving,1821,-1,F,@I2105@,,
Abraham,Van Buren,1737,1817,M,@I2106@,,
Maria,Hoes,1748,1817,F,@I2107@,,
Derike,Van Buren,1777,1865,M,@I2108@,@I2107@,@I2106@
Hannah,Van Buren,1780,-1,F,@I2109@,@I2107@,@I2106@
Lawrence,Van Buren,1786,1868,M,@I2110@,@I2107@,@I2106@
Abraham,Van Buren,1788,1836,M,@I2111@,@I2107@,@I2106@
Johannes,Van Alen,1744,1773,M,@I2112@,,
Marytje,Van Alen,1768,1829,F,@I2113@,@I2107@,@I2112@
Johannes,Van Alen,1770,1805,M,@I2114@,@I2107@,@I2112@
Jacobus,Van Alen,1773,1822,M,@I2115@,@I2107@,@I2112@
Barent,Hoes,-1,-1,F,@I2116@,,
Harriet,Vosburgh,-1,-1,F,@I2117@,,
Catherine,Hogeboom,-1,-1,F,@I2118@,,
Benjamin Harrison,McKee,1887,-1,M,@I2120@,@I1425@,@I1430@
Mary Dodge,McKee,-1,-1,F,@I2121@,@I1425@,@I1430@
Lyndon Baines,Johnson,1908,1973,M,@I2122@,@I2129@,@I2128@
Claudia Alta,Taylor,1912,2007,F,@I2123@,@I2219@,@I2220@
Lynda Bird,Johnson,1944,-1,F,@I2124@,@I2123@,@I2122@
Lucy (Luci) Baines,Johnson,1947,-1,F,@I2125@,@I2123@,@I2122@
Charles Spittall,Robb,1940,-1,M,@I2126@,,
Patrick John,Nugent,1943,-1,M,@I2127@,,
Samuel Ealy,Johnson,1877,1937,M,@I2128@,,
Rebekah,Baines,1881,1958,F,@I2129@,,
Rebekah Luruth,Johnson,1910,-1,F,@I2130@,@I2129@,@I2128@
Josefa Hermine,Johnson,1912,1961,F,@I2131@,@I2129@,@I2128@
Sam Houston,Johnson,1914,-1,M,@I2132@,@I2129@,@I2128@
Lucia Huffman,Johnson,1916,-1,F,@I2133@,@I2129@,@I2128@
Oscar Price,Bobbit,-1,-1,M,@I2134@,,
Willard,White,-1,-1,M,@I2135@,,
James B,Moss,-1,-1,M,@I2136@,,
Albertine,Summers,-1,-1,F,@I2137@,,
Mary,Michelson,-1,-1,F,@I2138@,,
Norman,Galt,-1,-1,M,@I2139@,,
_____,Dewolfe,-1,-1,M,@I2140@,,
Millard,Fillmore,1800,1874,M,@I2141@,@I2145@,@I2144@
Abigail,Powers,1798,1853,F,@I2142@,@I2300@,@I2301@
Caroline,Carmichael,1813,1881,F,@I2143@,@I2295@,@I2296@
Nathaniel,Fillmore,1771,1863,M,@I2144@,,
Phoebe,Millard,1781,1831,F,@I2145@,,
_____,Cowden,-1,-1,M,@I2146@,,
Rosa L,Johnson,1851,1931,F,@I2147@,@I1451@,@I1450@
Lucy Ann,Overton,1714,1795,F,@I2148@,,
John Robert,Johnston,1713,-1,M,@I2149@,,
Jordan,Johnson,1735,-1,M,@I2150@,@I2148@,@I2149@
Andrew,McDonough,1729,1787,M,@I2151@,,
Andrew C,McDonogh,1759,1846,M,@I2152@,,@I2151@
Mary Ruth,Lindley,1764,1850,F,@I2153@,@I2163@,@I2166@
Levina,Wright,1735,-1,F,@I2154@,,
Sara Lena,Phillips,-1,-1,F,@I2157@,,
John,McCardell,-1,-1,M,@I2158@,,
Mary Belle,Patterson,1859,1891,F,@I2159@,@I1452@,@I1457@
Moses,Johnson,-1,-1,M,@I2160@,@I2154@,@I2150@
Catherine,Kinkey,1696,1744,F,@I2161@,,
Willioam,Cox,1692,1767,M,@I2162@,,
Mary,Cox,1719,1779,F,@I2163@,@I2161@,@I2162@
Ruth,Hadley,1712,1785,F,@I2164@,,
Thomas,Lindley,1705,1781,M,@I2165@,,
James,Lindley,1735,1779,M,@I2166@,@I2164@,@I2165@
Mattie Bartley,Patterson,1865,-1,F,@I2167@,,
Andrew Johnson,Paterson,1857,1932,M,@I2168@,@I1452@,@I1457@
Devolco,Johnson,-1,-1,M,@I2174@,@I2175@,@I1463@
Sarah,Giddings,-1,-1,F,@I2175@,,
Margaret J,Petterson,1904,-1,F,@I2176@,@I2167@,@I2168@
Lillie M,Stover,1855,1892,F,@I2177@,@I1454@,@I1458@
Eliza Johnson,Stover,1855,-1,M,@I2178@,@I1454@,@I1458@
Sarah Drake,Bachman,1857,1886,F,@I2179@,@I1454@,@I1458@
William Lincoln,Stover,1795,1864,M,@I2180@,,
Sarah Murray,Drake,1795,1874,F,@I2181@,,
Sarah,Jennings,1660,1744,F,@I2182@,,
Louiana,Thurman,1818,1867,F,@I2183@,,
Donald John,Trump,1946,-1,M,@I2185@,,
Ivana,Zelníčková,-1,-1,F,@I2186@,,
Donald John,Trump,1977,-1,M,@I2187@,@I2186@,@I2185@
Ivanka,Trump,1981,-1,F,@I2188@,@I2186@,@I2185@
Eric,Trump,1984,-1,M,@I2189@,@I2186@,@I2185@
Marla Ann,Maples,1963,-1,F,@I2190@,,
Tiffany,Trump,1993,-1,F,@I2191@,@I2190@,@I2185@
Melania,Knauss,-1,-1,F,@I2192@,,
Barron,Trump,2006,-1,M,@I2193@,@I2192@,@I2185@
Barack Hussein,Obama,1961,-1,M,@I2194@,@I2306@,@I2307@
Michelle LaVaughn,Robinson,1964,-1,F,@I2195@,,
Malia Ann,Obama,1998,-1,F,@I2196@,@I2195@,@I2194@
Natasha,Obama,2001,-1,F,@I2197@,@I2195@,@I2194@
Laura Lane,Welch,1946,-1,F,@I2198@,,
Barbara Pierce,Bush,1981,-1,F,@I2199@,@I2198@,@I1194@
Jena Welch,Bush,1981,-1,F,@I2200@,@I2198@,@I1194@
John Payne,Todd,1792,1852,M,@I2201@,@I2055@,@I2069@
Thomas,Reade,1649,1716,M,@I2202@,@I416@,@I415@
Rose,Pierson,1693,1771,F,@I2203@,,
Aaron,Mendenhall,1690,1765,M,@I2204@,,
Margret,King,-1,1803,F,@I2205@,,
William,Farr,-1,1803,M,@I2206@,,
Hannah,Griggs,1702,1798,F,@I2207@,,
Harriet Rebecca,Lane,1830,1903,F,@I2208@,@I1812@,@I1821@
Joseph Stark,Lane,1820,1822,M,@I2209@,@I1812@,@I1821@
William Edward,Lane,1833,1834,M,@I2210@,@I1812@,@I1821@
Thomas Newton,Lane,-1,1835,M,@I2211@,@I1812@,@I1821@
Elliott Eskridge,Lane,1823,1857,M,@I2212@,@I1812@,@I1821@
Frances Allethea,Murray,1905,2000,F,@I2213@,,
Wilburn Edgar,Smith,1896,1940,M,@I2214@,,
Elivera Mathilda,Carlson,1878,1960,F,@I2215@,,
John Sheldon,Doud,1870,1951,M,@I2216@,,
Janet Norton,Lee,-1,-1,F,@I2217@,,
John Vernou,Bouvier,-1,-1,M,@I2218@,,
Minnie Lee,Patillo,1874,1918,F,@I2219@,,
Thomas Jefferson,Taylor,1874,1960,M,@I2220@,,
Katherine,Halberstadt,1879,1926,F,@I2221@,,
William Martin,Ryan,1866,1930,M,@I2222@,,
Margaret Elizabeth,Gates,1862,1952,F,@I2225@,,
David Willock,Wallace,1860,1903,M,@I2226@,,
Margaret,Barnhill,1799,1861,F,@I2227@,,
Cornelius Van Schaak,Roosevelt,1794,1871,M,@I2228@,,
Jacobus James,Roosevelt,1760,1847,M,@I2229@,,
Maria Eliza,Walton,-1,-1,F,@I2230@,,
Florence Ida,Weed,1849,1921,F,@I2231@,,
Charles Delano,Henry,1845,1928,M,@I2232@,,
Mary Lee,Williams,1871,1950,F,@I2233@,,
Samuel Herbert,Britton,1859,1913,M,@I2234@,,
Matilda,Courtney,1822,1915,F,@I2235@,,
Irene Chloe,Nixon,1874,1901,F,@I2236@,@I189@,@I188@
Hugh Henry,Nixon,1892,1965,M,@I2237@,@I2242@,@I188@
Caroline E.,Webber,-1,-1,F,@I2238@,,
Carrie May,Nixon,1881,1968,F,@I2239@,@I189@,@I188@
Ernest Leland,Nixon,1883,1969,M,@I2240@,@I189@,@I188@
Walter Wadsworth,Nixon,1876,1967,M,@I2241@,@I189@,@I188@
Lutheria,Wyman,1863,1948,F,@I2242@,,
W V,Marshburn,-1,-1,M,@I2243@,,
Hannah,Mendenhall,1762,1797,F,@I2244@,@I288@,@I287@
Lydia,Roberts,-1,-1,F,@I2245@,,
Benjamin,Mendenhall,-1,-1,M,@I2246@,,
Sarah,Beaston,1750,1796,F,@I2247@,,@I2248@
Benjamin,Beeston,-1,-1,M,@I2248@,,
Margaret,Spencer,-1,-1,F,@I2249@,@I1230@,@I1229@
Agnes,Spencer,-1,-1,F,@I2250@,@I1230@,@I1229@
John,Spencer,-1,-1,M,@I2251@,@I1230@,@I1229@
John,Spencer,1517,1586,M,@I2252@,@I1240@,@I1239@
Isabel,Spencer,1515,1578,F,@I2253@,@I1240@,@I1239@
Anne,Spencer,1523,1593,F,@I2255@,@I1240@,@I1239@
Marie,Spencer,1525,1596,F,@I2256@,@I1240@,@I1239@
Jane,Spencer,1519,1593,F,@I2257@,@I1240@,@I1239@
Ann,Pendleton,1740,1792,F,@I2258@,,
Mildred A.,Kotany,1870,1957,F,@I2259@,@I702@,@I900@
John Holliday,Wear,1869,1912,M,@I2260@,@I702@,@I900@
Sandra J,Seemann,1965,-1,F,@I2261@,,
Ann,Campbell,-1,-1,F,@I2262@,,
Abner,Allison,-1,-1,M,@I2263@,,
Ida,Saxon,1847,1908,F,@I2264@,@I2265@,@I2266@
Katherine A,Dewalt,1827,1873,F,@I2265@,,
James Asbury,Saxton,1816,1887,M,@I2266@,,
Oscar,Folsom,1837,1875,M,@I2269@,,
Emma,Harmon,1840,1915,F,@I2270@,,
Elizabeth Mayhew,Scott,1828,1889,F,@I2271@,,
Russell Farnham,Lord,1802,1867,M,@I2272@,,
Mary Potts,Neal,1811,1876,F,@I2273@,,
John Witherspoon,Scott,1800,1892,M,@I2274@,,
Elizabeth H,Hansbough,1817,1878,F,@I2275@,,
William Lewis,Herndon,1813,1857,M,@I2276@,,
Arabella,Mason,1810,1879,F,@I2277@,,
Zebulon,Rudolph,1803,1897,M,@I2278@,,
Marietta,Cook,1801,1866,F,@I2279@,,
James,Webb,1795,1833,M,@I2280@,,
America Rosa,Workman,1878,1942,F,@I2281@,,
Chaffee,Grant,1883,1940,M,@I2282@,@I1876@,@I1872@
Fannie C,Grant,1889,1924,F,@I2283@,@I1876@,@I1872@
Julia Dent,Grant,1885,1964,F,@I2284@,@I1876@,@I1872@
Miriam,Grant,1881,1940,F,@I2285@,@I1876@,@I1872@
Ulysses Simpson,Grant,1893,1977,M,@I2286@,@I1876@,@I1872@
Ellen Bray,Wrenshall,1793,1857,F,@I2288@,,
Frederick Fayette,Dent,1787,1873,M,@I2289@,,
Eliza Ann,Parker,1794,1825,F,@I2290@,,
Robert Smith,Todd,1791,1849,M,@I2291@,,
James,Taylor,1738,1807,M,@I2292@,,
Elizabeth,Means,1779,1844,F,@I2293@,,
Jesse,Appleton,1772,1819,M,@I2294@,,
Temperance Wickham,Blachley,1780,1818,F,@I2295@,,
Charles,Carmichael,1779,1824,M,@I2296@,,
Ezekiel C.,McIntosh,1806,1855,M,@I2297@,,
Mary Abigail,Fillmore,1832,1854,F,@I2298@,@I2142@,@I2141@
Millard Powers,Fillmore,1828,1889,M,@I2299@,@I2142@,@I2141@
Abigail,Newland,1758,1838,F,@I2300@,,
Lemuel,Powers,-1,-1,M,@I2301@,,
Anna,Tuthill,1741,1776,F,@I2302@,,
John Cleves,Symmes,1742,1814,M,@I2303@,,
Hortense B,Neahr,1884,1948,F,@I2304@,,
William Stephenson,Bloomer,1876,1934,M,@I2305@,,
Stanley Ann,Dunham,1942,1995,F,@I2306@,@I2310@,@I2311@
Barack Hussein,Obama,1936,1982,M,@I2307@,,
Lolo,Soetoro,-1,-1,M,@I2308@,,
Kezia,Aoko,-1,-1,F,@I2309@,,
Madelyn L,Payne,-1,-1,F,@I2310@,,
Stanley A,Dunham,-1,-1,M,@I2311@,,
Elizabeth,Quincy,1721,1775,F,@I2312@,,
William,Smith,1706,1783,M,@I2313@,,
Frances,Jones,1710,1785,F,@I2314@,,
John,Dandridge,1700,1756,M,@I2315@,,
Frances,Park,1685,1714,F,@I2316@,,
John,Custis,1678,1749,M,@I2317@,,
John,Wayles,1715,1773,M,@I2318@,,
Martha,Eppes,1712,1748,F,@I2319@,,
Mary Winston,Coles,1743,1807,F,@I2320@,,
John Parish,Payne,1740,1792,M,@I2321@,,
Lawrence,Kortright,-1,-1,M,@I2322@,,
Hannah,Aspinwall,-1,-1,F,@I2323@,,
Rachel,Stockley,1715,1794,F,@I2324@,,
John,Donelson,1718,1785,M,@I2325@,,
Maria,Quackenbush,1752,1832,F,@I2326@,,
Ens John Dirkson,Hoes,1753,1789,M,@I2327@,,
Juliana,MacLachlan,1799,1864,F,@I2328@,,
David,Gardiner,1784,1844,M,@I2329@,,
Elizabeth,Whitsett,1780,1863,F,@I2330@,,
Joel,Childress,1777,1819,M,@I2331@,,
Ann,Mackall,-1,-1,F,@I2332@,,
Martha Caroline,Dees,1825,1873,F,@I2333@,@I48@,@I47@
Laura,Hensler,1872,1945,F,@I2334@,,
Albert Clarke,Davis,1865,1938,M,@I2335@,,
Pearl McElroy,McPhersen,1896,1932,F,@I2337@,,
Jennie Mar,Munford,1902,1995,F,@I2338@,,
Urban Joseph,Herzing,1902,1990,M,@I2339@,@I2340@,@I2341@
Catherine,Schaberl,-1,-1,F,@I2340@,,
Casper,Herzing,-1,-1,M,@I2341@,,
Jeanne Eileen,Ripp,1965,-1,F,@I2342@,,
Arnold Alois,Schwarzenegger,1947,-1,M,@I2343@,,
