first,last,birth,death,gender,id,mother,father
Birgitte of_Denmark,von_Deurs,1947,-1,F,@I89@
Alexander Patrick Gregers,,1974,-1,M,@I90@,@I89@,@I88@
Earl Winfield,Spencer,-1,-1,M,@I91@
Ernest,Simpson,-1,-1,M,@I92@
Frances,Burke_Roche,1936,-1,F,@I93@,@I369@,@I368@
Marie Alexandrovna,,1853,1920,F,@I94@,@I45@,@I44@
Alfred,,1874,1899,M,@I95@,@I94@,@I6@
Marie of_Saxe-Coburg and_Gotha,,1875,1938,F,@I96@,@I94@,@I6@
Victoria Melita of_Edinburgh,,1876,1936,F,@I97@,@I94@,@I6@
Alexandra,,1878,1942,F,@I98@,@I94@,@I6@
Beatrice,,1884,1966,F,@I99@,@I94@,@I6@
Louis of_Battenberg,,1854,1921,M,@I100@,@I348@,@I347@
Alice of_Battenberg,,1885,1969,F,@I101@,@I38@,@I100@
George,Mountbatten,1892,1938,M,@I102@,@I38@,@I100@
Louis of_Burma,Mountbatten,1900,1979,M,@I103@,@I38@,@I100@
Andrew of_Greece,,1882,1944,M,@I104@,@I228@,@I227@
Alexander,Duff,1849,1912,M,@I105@
Alexandra,Windsor,1936,-1,F,@I106@,@I66@,@I35@
Michael,Windsor,1942,-1,M,@I107@,@I66@,@I35@
Angus,Ogilvy,1928,-1,M,@I108@
James Robert Bruce,Ogilvy,1964,-1,M,@I109@,@I106@,@I108@
Marina Victoria Alexandra,Ogilvy,1966,-1,F,@I110@,@I106@,@I108@
Katharine,Worsley,1933,-1,F,@I111@,@I981@
George Philip of_St._Andrews,Windsor,1962,-1,M,@I112@,@I111@,@I67@
Helen Marina Lucy,Windsor,1964,-1,F,@I113@,@I111@,@I67@
Nicholas Charles Edward,Windsor,1970,-1,M,@I114@,@I111@,@I67@
William Arthur Philip,Windsor,1982,-1,M,@I115@,@I65@,@I58@
Henry Charles Albert,Windsor,1984,-1,M,@I116@,@I65@,@I58@
(Frederick) Christian Charles,,1831,1917,M,@I117@
Marie Louise,,1872,1956,F,@I118@,@I7@,@I117@
Aribert of_Anhalt,,1864,1933,M,@I119@
Louise Margaret of_Prussia,,1860,1917,F,@I120@,@I200@,@I199@
Margaret of_Sweden,,1882,1920,F,@I121@,@I120@,@I9@
Arthur of_Connaught,,1883,1938,M,@I122@,@I120@,@I9@
Patricia,,1886,1974,F,@I123@,@I120@,@I9@
Gustav_VI Adolf,,1882,1973,M,@I124@,@I457@,@I456@
Alexandra,,1891,1959,F,@I125@,@I15@,@I105@
Alexander,Ramsay,1881,1972,M,@I126@,@I2151@
Isabella of_France,,1292,1358,F,@I127@,@I2486@,@I1903@
Issue_Unknown,,-1,-1,M,@I128@
Charles Edward,,1884,1954,M,@I129@,@I23@,@I10@
George_III,Hanover,1738,1820,M,@I130@,@I332@,@I323@
(Sophia) Charlotte,,1744,1818,F,@I131@,@I2148@,@I2147@
Adolphus of_Cambridge,Hanover,1774,1850,M,@I132@,@I131@,@I130@
Edward Augustus,Hanover,1767,1820,M,@I133@,@I131@,@I130@
Augusta of_Hesse-Cassel,,1797,1889,F,@I134@,@I302@,@I301@
Augusta Caroline,,1822,1916,F,@I135@,@I134@,@I132@
Mary Adelaide "Fat_Mary",,1833,1897,F,@I136@,@I134@,@I132@
Francis,,1837,1900,M,@I137@,@I304@,@I303@
Victoria Mary Louisa,,1786,1861,F,@I138@,@I2614@,@I2448@
Ernest_I of_Saxe-Coburg- Saalfeld,,1784,1844,M,@I139@,@I2614@,@I2448@
Louise of_Saxe-Coburg- Altenburg,,1800,1831,F,@I140@
George_IV,Hanover,1762,1830,M,@I141@,@I131@,@I130@
Maria Anne,Fitzherbert,1756,1837,F,@I142@
Caroline Amelia of_Brunswick,,1768,1821,F,@I143@,@I333@,@I1363@
Charlotte Augusta,Hanover,1796,1817,F,@I144@,@I143@,@I141@
Claude George,Bowes-Lyon,1855,1944,M,@I145@,@I183@,@I182@
Cecilia Nina,Cavendish-Bentin,1862,1938,F,@I146@,@I208@,@I207@
Margarita,Mountbatten,1905,1981,F,@I147@,@I101@,@I104@
Theodora,Mountbatten,1906,1960,F,@I148@,@I101@,@I104@
Vladimir,Romanov,1847,1909,M,@I149@,@I45@,@I44@
Alexis,Romanov,1850,1908,M,@I150@,@I45@,@I44@
Serge Alexandrovich,Romanov,1857,1905,M,@I151@,@I45@,@I44@
Paul Alexandrovich,Romanov,1860,1919,M,@I152@,@I45@,@I44@
George Alexandrovich,Romanov,1871,1899,M,@I153@,@I41@,@I40@
Xenia,Romanov,1875,1960,F,@I154@,@I41@,@I40@
Michael "Mischa" Alexandrovich,Romanov,1878,1918,M,@I155@,@I41@,@I40@
Olga Alexandrovna,Romanov,1882,1960,F,@I156@,@I41@,@I40@
Marie,Pavlovna,1854,1920,F,@I157@,@I2682@
Cyril Vladimirovitch,Romanov,1876,1938,M,@I158@,@I157@,@I149@
Boris,Romanov,1877,1943,M,@I159@,@I157@,@I149@
Andrei (Andrew) Vladimirovich,Romanov,1879,1956,M,@I160@,@I157@,@I149@
Mathilde (Maria),Krzesinska,1872,1971,F,@I161@,@I2926@
Frederick William_III,,1770,1840,M,@I162@,@I556@,@I553@
Alexandra of_Greece,,1870,1891,F,@I163@,@I228@,@I227@
Dmitri Pavlovich,Romanov,1891,1941,M,@I164@,@I163@,@I152@
Nicholas,Romanov,1850,1918,M,@I165@,@I354@,@I353@
Irina,,1895,-1,F,@I166@,@I154@,@I2675@
Felix,Yussoupov,1887,-1,M,@I167@
Sarah Margaret,Ferguson,1959,-1,F,@I168@,@I170@,@I169@
Ronald Ivor,Ferguson,1931,-1,M,@I169@,@I812@,@I811@
Susan Mary,Wright,1937,-1,F,@I170@,@I821@,@I820@
Teackle Wallis,Warfield,-1,-1,M,@I171@
Alice,Montague,-1,-1,F,@I172@
Violet Hyacinth,Bowes-Lyon,1882,1893,F,@I173@,@I146@,@I145@
Mary Frances,Bowes-Lyon,1883,1961,F,@I174@,@I146@,@I145@
Patrick,Bowes-Lyon,1884,1949,M,@I175@,@I146@,@I145@
John Herbert,Bowes-Lyon,1886,1930,M,@I176@,@I146@,@I145@
Alexander Francis,Bowes-Lyon,1887,1911,M,@I177@,@I146@,@I145@
Fergus,Bowes-Lyon,1889,1915,M,@I178@,@I146@,@I145@
Rose,Bowes-Lyon,1890,1967,F,@I179@,@I146@,@I145@
Michael Claude,Bowes-Lyon,1893,1953,M,@I180@,@I146@,@I145@
David,Bowes-Lyon,1902,1961,M,@I181@,@I146@,@I145@
Claude,Bowes-Lyon,1824,1904,M,@I182@,@I185@,@I184@
Frances Dora,Smith,1833,1922,F,@I183@,@I365@,@I364@
Thomas,Lyon-Bowes,1773,1846,M,@I184@,@I188@,@I187@
Mary,Carpenter,-1,-1,F,@I185@
Thomas George,Lyon-Bowes,1822,1865,M,@I186@,@I185@,@I184@
John,Lyon,1737,1776,M,@I187@
Mary Eleanor,Bowes,1749,1800,F,@I188@
John Lyon,Bowes,1769,1820,M,@I189@,@I188@,@I187@
Andrew Robinson,Stoney,-1,-1,M,@I190@
,Elphinstone,1869,1955,M,@I191@
Dorothy Beatrix,Osborne,1888,1946,F,@I192@
Fenella Stuart-Forbes Trefusis,Hepburn,1889,1966,F,@I193@
Christian Norah,Dawson-Damer,1890,1959,F,@I194@
,Granville,1880,1953,M,@I195@
Elizabeth,Cator,1899,1959,F,@I196@
Rachel,Clay,1907,-1,F,@I197@
Jeanne d'Albret of_France,,-1,-1,F,@I198@
Frederick Charles of_Prussia,,-1,-1,M,@I199@
Maria Anna of_Anhalt,,-1,-1,F,@I200@
John,Campbell,1845,1914,M,@I201@
Frederick,Hanover,1763,1827,M,@I202@,@I131@,@I130@
William_IV Henry,Hanover,1765,1837,M,@I203@,@I131@,@I130@
Charlotte Augusta Matilda,Hanover,1766,1828,F,@I204@,@I131@,@I130@
Ferdinand,,1785,1851,M,@I205@,@I2614@,@I2448@
Mary,,1799,1860,F,@I206@
Charles,Cavendish-Bentin,1817,1865,M,@I207@,@I361@,@I360@
Caroline Louisa,Burnaby,1832,1918,F,@I208@,@I363@,@I362@
Augusta Sophia,Hanover,1768,1840,F,@I209@,@I131@,@I130@
Elizabeth,Hanover,1770,1840,F,@I210@,@I131@,@I130@
Frederick_VI of_Hesse-Homburg,,1769,1829,M,@I211@
Ernest Augustus_I,Hanover,1771,1851,M,@I212@,@I131@,@I130@
Augustus Frederick,Hanover,1773,1843,M,@I213@,@I131@,@I130@
Mary,Hanover,1776,1857,F,@I214@,@I131@,@I130@
Sophia,Hanover,1777,1848,F,@I215@,@I131@,@I130@
Octavius,Hanover,1779,1783,M,@I216@,@I131@,@I130@
Alfred,Hanover,1780,1783,M,@I217@,@I131@,@I130@
Amelia,Hanover,1783,1810,F,@I218@,@I131@,@I130@
Adelaide Louisa Theresa,,1792,1849,F,@I219@,@I760@,@I759@
Charlotte Augusta Louisa,Hanover,1819,1819,F,@I220@,@I219@,@I203@
Elizabeth Georgiana Adelaide,Hanover,1820,1821,F,@I221@,@I219@,@I203@
Twin-Boy_1,,1822,1822,M,@I222@,@I219@,@I203@
Twin-Boy_2,,1822,1822,M,@I223@,@I219@,@I203@
Marie,,1852,1923,F,@I224@,@I348@,@I347@
Christian_IX,,1818,1906,M,@I225@,@I346@,@I345@
Louise of_Hesse-Cassel,,1817,1898,F,@I226@,@I299@,@I298@
William George_I of_the_Hellenes,Oldenburg,1845,1913,M,@I227@,@I226@,@I225@
Olga Constantinovna,,1851,1926,F,@I228@,@I354@,@I353@
Nicholas of_Greece,,1872,1938,M,@I229@,@I228@,@I227@
Child_6,,1913,-1,M,@I230@,@I76@,@I405@
Child_5,,-1,-1,M,@I231@,@I76@,@I405@
Paul_I,Oldenburg,1901,1964,M,@I232@,@I76@,@I405@
Helen of_Greece,,1896,1982,F,@I233@,@I76@,@I405@
Alexander_I,Oldenburg,1893,1920,M,@I234@,@I76@,@I405@
Sumner M.,Kirby,-1,1945,F,@I235@
Child_2,,-1,-1,M,@I236@,@I1362@,@I229@
Child_3,,-1,-1,M,@I237@,@I1362@,@I229@
Louise Alexandra,Mountbatten,1889,1965,F,@I238@,@I38@,@I100@
Edward John VIII,Spencer,1924,1992,M,@I239@,@I367@,@I366@
Sarah,Spencer,1955,-1,F,@I240@,@I93@,@I239@
Jane,Spencer,1957,-1,F,@I241@,@I93@,@I239@
Charles,Spencer,1964,-1,M,@I242@,@I93@,@I239@
Raine of_Dartmouth,McCorquodale,1929,-1,F,@I243@,@I806@,@I2984@
George Earl_of_Harewood,Lascelles,1923,-1,M,@I244@,@I33@,@I68@
Louise Marie d'Orleans,,1812,1850,F,@I245@,@I1705@,@I2511@
Ludwig_IX of_Hesse- Darmstadt,,-1,-1,M,@I246@
Frederick_I of_Wurttemberg,,1754,1816,M,@I247@,@I1068@,@I1067@
Frederica of_Mecklenburg- Strelitz,,1778,1841,F,@I248@,@I496@,@I564@
George_V,Hanover,1819,1878,M,@I249@,@I248@,@I212@
Mary of_Saxe- Altenburg,,1818,1907,F,@I250@
Ernest Augustus of_Cumberland,Hanover,1845,1923,M,@I251@,@I250@,@I249@
Frederica,Hanover,1848,1926,F,@I252@,@I250@,@I249@
Mary,Hanover,1849,1904,F,@I253@,@I250@,@I249@
Thyra of_Denmark,,1853,1933,F,@I254@,@I226@,@I225@
Marie Louise,Hanover,1879,1948,F,@I255@,@I254@,@I251@
George William,Hanover,1880,1912,M,@I256@,@I254@,@I251@
Alexandra,Hanover,1882,1963,F,@I257@,@I254@,@I251@
Olga,Hanover,1884,1958,F,@I258@,@I254@,@I251@
Christian,Hanover,1885,1901,M,@I259@,@I254@,@I251@
Rene of_Bourbon-Parma,,-1,-1,M,@I260@
Alfons,Pawel-Rammingen,1843,1932,M,@I261@
George of_Cambridge,,1819,1904,M,@I262@,@I134@,@I132@
Sarah (Louisa),Fairbrother,-1,1890,F,@I263@
George,FitzGeorge,1843,1907,M,@I264@,@I263@,@I262@
Adolphus,,1846,1922,M,@I265@,@I263@,@I262@
Agustus,,1847,1933,M,@I266@,@I263@,@I262@
Rosa,Baring,-1,-1,F,@I267@
Son_1,,-1,-1,M,@I268@,@I267@,@I264@
Dau._1,,-1,-1,F,@I269@,@I267@,@I264@
Dau._2,,-1,-1,F,@I270@,@I267@,@I264@
Frederick William,,1819,1904,M,@I271@
Adolphus Frederick_V,,1848,1914,M,@I272@,@I135@,@I271@
Elisabeth of_Anhalt,,1857,1933,F,@I273@
Son_1,,-1,-1,M,@I274@,@I273@,@I272@
Son_2,,-1,-1,M,@I275@,@I273@,@I272@
Dau._1,,-1,-1,F,@I276@,@I273@,@I272@
Dau._2,,-1,-1,F,@I277@,@I273@,@I272@
Adolphus 2nd,,1868,1927,M,@I278@,@I136@,@I137@
Francis,,1870,1910,M,@I279@,@I136@,@I137@
Alexander George of_Teck,,1874,1957,M,@I280@,@I136@,@I137@
Margaret,Grosvenor,1873,1929,F,@I281@
George of_Cambridge,,1895,-1,M,@I282@,@I281@,@I278@
Son_2,,-1,-1,M,@I283@,@I281@,@I278@
Mary,,1897,-1,F,@I284@,@I281@,@I278@
Helena,,1899,1969,F,@I285@,@I281@,@I278@
Edward_II,,1284,1327,M,@I286@,@I1262@,@I1261@
Rupert,,-1,1928,M,@I287@,@I24@,@I280@
Son_2,,-1,-1,M,@I288@,@I24@,@I280@
May Cambridge,,1906,-1,F,@I289@,@I24@,@I280@
William Frederick of_Gloucester,,1776,1834,M,@I290@,@I762@,@I336@
Gerald,Lascelles,1924,-1,M,@I291@,@I33@,@I68@
Marion (Maria) Donata,Stein,1926,-1,F,@I292@,@I2983@,@I2982@
David,Lascelles,1950,-1,M,@I293@,@I292@,@I244@
James,Lascelles,1953,-1,M,@I294@,@I292@,@I244@
Jeremy,Lascelles,1955,-1,M,@I295@,@I292@,@I244@
Angela,Dowding,1919,-1,F,@I296@
Henry,Lascelles,1953,-1,M,@I297@,@I296@,@I291@
William of_Hesse-Cassel,,1787,1867,M,@I298@,@I302@,@I301@
Louise Charlotte of_Denmark,,1789,1864,F,@I299@,@I1644@,@I1643@
Other_issue,,-1,-1,M,@I300@,@I299@,@I298@
Frederick of_Hesse-Cassel,,1747,1837,M,@I301@,@I330@,@I1604@
Caroline of_Nassau- Usingen,,1762,1823,F,@I302@
Alexander of_Wurttemberg,,1804,1885,M,@I303@,@I485@,@I484@
Claudine,,1814,1841,F,@I304@
Claudine,,1836,1894,F,@I305@,@I304@,@I303@
Amelie,,1838,1893,F,@I306@,@I304@,@I303@
Paul,von_Hugel,1835,1897,M,@I307@
Paul,von_Hugel,1872,1912,M,@I308@,@I306@,@I307@
Ferdinand_I of_Hohenzollern- Sigmaringen,Hohenzollern,1865,1927,M,@I309@,@I1100@,@I1099@
Christian Victor,,1867,1900,M,@I310@,@I7@,@I117@
Albert of_Schleswig- Holstein,,1869,1931,M,@I311@,@I7@,@I117@
Helena Victoria,,1870,1948,F,@I312@,@I7@,@I117@
Frederick Harold,,1876,1876,M,@I313@,@I7@,@I117@
Patricia,Tuckwell,1923,-1,F,@I314@
Mark,Lascelles,1964,-1,M,@I315@,@I314@,@I244@
Elizabeth Collingwood,Colvin,1924,-1,F,@I316@
Davina Elizabeth Alice,Windsor,1977,-1,F,@I317@,@I89@,@I88@
Rose Victoria Birgitte,Windsor,1980,-1,F,@I318@,@I89@,@I88@
Marie-Christine,von_Reibnitz,1945,-1,F,@I319@
Frederick,Windsor,1979,-1,M,@I320@,@I319@,@I107@
George_II,Hanover,1683,1760,M,@I321@,@I342@,@I341@
Caroline of_Ansbach,,1683,1737,F,@I322@,@I1694@
Frederick Louis,Hanover,1701,1751,M,@I323@,@I322@,@I321@
Anne,Hanover,1709,1759,F,@I324@,@I322@,@I321@
Amelia Sophia Eleanor,Hanover,1711,1786,F,@I325@,@I322@,@I321@
Caroline Elizabeth,Hanover,1713,1757,F,@I326@,@I322@,@I321@
Son,,1716,1716,M,@I327@,@I322@,@I321@
George William,Hanover,1717,1718,M,@I328@,@I322@,@I321@
William Augustus of_Cumberland,Hanover,1721,1765,M,@I329@,@I322@,@I321@
Mary,Hanover,1723,1772,F,@I330@,@I322@,@I321@
Louisa,Hanover,1724,1751,F,@I331@,@I322@,@I321@
Augusta of_Saxe-Gotha,,1719,1772,F,@I332@,@I2143@,@I2142@
Augusta,Hanover,1737,1813,F,@I333@,@I332@,@I323@
Edward Augustus,Hanover,1739,1767,M,@I334@,@I332@,@I323@
Elizabeth Caroline,Hanover,1741,1759,F,@I335@,@I332@,@I323@
Edward Henry of_Gloucester,Hanover,1743,1805,M,@I336@,@I332@,@I323@
Henry Frederick of_Cumberland,Hanover,1745,1790,M,@I337@,@I332@,@I323@
Louisa Anne,Hanover,1749,1768,F,@I338@,@I332@,@I323@
Frederick William,Hanover,1750,1765,M,@I339@,@I332@,@I323@
Caroline Matilda,Hanover,1751,1775,F,@I340@,@I332@,@I323@
George_I,Hanover,1660,1727,M,@I341@,@I736@,@I758@
Sophia Dorothea of_Celle,,1666,1726,F,@I342@,@I2141@,@I2140@
Sophia Dorothea,Hanover,1687,1757,F,@I343@,@I342@,@I341@
Frederick_V,,1723,1766,M,@I344@,@I1621@,@I1620@
Frederick William of_Schleswig-,,1785,1831,M,@I345@
Louise Caroline of_Hesse-Cassel,,1789,1867,F,@I346@,@I1640@,@I1641@
Alexander of_Hesse and_the_Rhine,,1823,1888,M,@I347@,@I350@,@I349@
Julia of_Battenberg,von_Hauke,1825,1895,F,@I348@,@I352@,@I351@
Louis_II of_Hesse and_the_Rhine,,1777,1848,M,@I349@,@I2912@,@I2911@
Wilhelmina of_Baden,,1788,1836,F,@I350@
John Maurice,von_Hauke,-1,1830,M,@I351@
Sophie,la_Fontaine,-1,1831,F,@I352@
Constantine Nikolaievitch of_Russia,,1827,1892,M,@I353@,@I43@,@I42@
Elizabeth Alexandra of_Saxe-,,1830,1911,F,@I354@,@I356@,@I355@
Joseph of_Saxe- Altenburg,,-1,1868,M,@I355@
Amalie of_Wurttemberg,,-1,1848,F,@I356@,@I485@,@I484@
Charles of_Hesse,,1809,1877,M,@I357@,@I350@,@I349@
Elizabeth of_Prussia,,1815,1885,F,@I358@,@I2622@
Charles William Frederick,Cavendish-Bentwi,-1,1865,M,@I359@
William Charles Augustus,Cavendish-Bentin,-1,1826,M,@I360@
Anne,Wellesley,-1,1875,F,@I361@,@I1914@
Edwyn,Burnaby,-1,1867,M,@I362@
Anne Caroline,Salisbury,-1,1881,F,@I363@
Oswald,Smith,-1,1863,M,@I364@
Henrietta Mildred,Hodgson,-1,-1,F,@I365@
Albert Edward John,Spencer,1892,1975,M,@I366@,@I397@,@I396@
Cynthia Elinor Beatrix,Hamilton,1897,1972,F,@I367@,@I385@,@I384@
Edmund Maurice,Burke_Roche,1885,1955,M,@I368@,@I371@,@I370@
Ruth Sylvia,Gill,1908,-1,F,@I369@,@I391@,@I390@
James Boothby,Burke_Roche,1851,1920,M,@I370@,@I379@,@I378@
Frances Ellen,Work,1857,1947,F,@I371@,@I373@,@I372@
Frank,Work,1819,1911,M,@I372@,@I377@,@I376@
Ellen,Wood,1831,1877,F,@I373@,@I375@,@I374@
John,Wood,-1,1847,M,@I374@
Ellen,Strong,-1,1863,F,@I375@
John,Work,-1,-1,M,@I376@
Sarah,Boude,-1,-1,F,@I377@
Edmund,Burke_Roche,1815,1874,M,@I378@,@I383@,@I382@
Elizabeth Caroline,Boothby,1821,1897,F,@I379@,@I381@,@I380@
James Brownell,Boothby,-1,1850,M,@I380@
Charlotte,Cunningham,-1,1893,F,@I381@
Edward,Roche,-1,1855,M,@I382@
Margaret Honoria,Curtain,-1,1862,F,@I383@
James Albert Edward,Hamilton,1869,1953,M,@I384@,@I387@,@I386@
